id,parent_id,name,code,developer_name,model_type,group,stat_group
10,,VAR,VAR,VAR,event,VAR,
14,,Goal,goal,GOAL,event,goals,
15,,Own Goal,owngoal,OWNGOAL,event,goals,
16,,Penalty,penalty,PENALTY,event,goals,
17,,Missed Penalty,missed_penalty,MISSED_PENALTY,event,goals,
18,,Substitution,substitution,SUBSTITUTION,event,subs,
19,,Yellowcard,yellowcard,YELLOWCARD,event,cards,
20,,Redcard,redcard,REDCARD,event,cards,
21,,Yellow/Red card,yellowredcard,YELLOWREDCARD,event,cards,
22,5.0,Penalty Shootout Missed,pen_shootout_miss,PENALTY_SHOOTOUT_MISS,event,goals,
23,5.0,Penalty Shootout Goal,pen_shootout_goal,PENALTY_SHOOTOUT_GOAL,event,goals,
1675,,Highlight,highlight,HIGHLIGHT,event,,
29,,Video,video,VIDEO,highlight,,
30,,Clip,clip,CLIP,highlight,,
31,,File,file,FILE,highlight,,
336,629.0,Ill,ill,ILL,injury_suspension,,
337,629.0,Cruciate Ligament Rupture,cruciate-ligament-rupture,CRUCIATE_LIGAMENT_RUPTURE,injury_suspension,,
339,629.0,Groin Injury,groin-injury,GROIN_INJURY,injury_suspension,,
531,629.0,Knock,knock,KNOCK,injury_suspension,,
532,629.0,Calf Injury,calf-injury,CALF_INJURY,injury_suspension,,
533,629.0,Thigh Problems,thigh-problems,THIGH_PROBLEMS,injury_suspension,,
534,629.0,Fibula Fracture,fibula-fracture,FIBULA_FRACTURE,injury_suspension,,
535,629.0,Hamstring Injury,hamstring-injury,HAMSTRING_INJURY,injury_suspension,,
536,629.0,Knee Injury,knee-injury,KNEE_INJURY,injury_suspension,,
537,629.0,Ankle Injury,ankle-injury,ANKLE_INJURY,injury_suspension,,
538,629.0,COVID 19,covid-19,COVID_19,injury_suspension,,
540,629.0,Knee Surgery,knee-surgery,KNEE_SURGERY,injury_suspension,,
541,629.0,Ankle Fracture,ankle-fracture,ANKLE_FRACTURE,injury_suspension,,
542,629.0,Metatarsal Fracture,metatarsal-fracture,METATARSAL_FRACTURE,injury_suspension,,
543,629.0,Pubitis,pubitis,PUBITIS,injury_suspension,,
544,629.0,Thigh muscle rupture,thigh-muscle-rupture,THIGH_MUSCLE_RUPTURE,injury_suspension,,
545,629.0,Shoulder Injury,shoulder-injury,SHOULDER_INJURY,injury_suspension,,
546,629.0,Ruptured cruciate ligament,ruptured-cruciate-ligament,RUPTURED_CRUCIATE_LIGAMENT,injury_suspension,,
547,629.0,Fitness,fitness,FITNESS,injury_suspension,,
548,629.0,Groin Surgery,groin-surgery,GROIN_SURGERY,injury_suspension,,
549,629.0,Foot Injury,foot-injury,FOOT_INJURY,injury_suspension,,
550,629.0,Concussion,concussion,CONCUSSION,injury_suspension,,
551,629.0,Hip Injury,hip-injury,HIP_INJURY,injury_suspension,,
552,629.0,Leg Injury,leg-injury,LEG_INJURY,injury_suspension,,
553,629.0,Inguinal Hernia,inguinal-hernia,INGUINAL_HERNIA,injury_suspension,,
554,629.0,Muscle Injury,muscle-injury,MUSCLE_INJURY,injury_suspension,,
555,629.0,Thumb Injury,thumb-injury,THUMB_INJURY,injury_suspension,,
556,629.0,Heart Condition,heart-condition,HEART_CONDITION,injury_suspension,,
557,629.0,Cruciate Ligament Injury,cruciate-ligament-injury,CRUCIATE_LIGAMENT_INJURY,injury_suspension,,
558,629.0,Foot surgery,foot-surgery,FOOT_SURGERY,injury_suspension,,
561,1692.0,Suspended,suspended,SUSPENDED,injury_suspension,,
562,629.0,Twisted knee,twisted-knee,TWISTED_KNEE,injury_suspension,,
585,629.0,Tear in a joint capsule,team-in-joint-capsule,TEAR_IN_JOINT_CAPSULE,injury_suspension,,
587,629.0,Unknown Injury,unknown-injury,UNKNOWN_INJURY,injury_suspension,,
588,629.0,Adductor problems,adductor-problems,ADDUCTOR_PROBLEMS,injury_suspension,,
589,629.0,Muscle Fatigue,muscle-fatigue,MUSCLE_FATIGUE,injury_suspension,,
590,629.0,Rest,rest,REST,injury_suspension,,
591,629.0,Distortion of the ankle,distortion-of-the-ankle,DISTORTION_OF_THE_ANKLE,injury_suspension,,
592,629.0,Ruptured intraarticular ligament initiation in knee,ruptured-intraarticular-ligament-initiation-in-knee,RUPTURED_NKEE_LIGAMENT,injury_suspension,,
593,629.0,Thigh Muscle Strain,thigh-muscle-strain,THIGH_MUSCLE_STRAIN,injury_suspension,,
594,629.0,Meniscal Injury,meniscal-injury,MENSICAL_INJURY,injury_suspension,,
595,629.0,Back Injury,back-injury,BACK_INJURY,injury_suspension,,
596,629.0,Biceps femoris muscle injury,biceps-femoris-muscle-injury,BICEPS_FEMORIS_MUSCLE_INJURY,injury_suspension,,
597,629.0,Tear in the abductor muscle,tear-in-abductor-muscle,TEAR_IN_ABDUCTOR_MUSCLE,injury_suspension,,
598,629.0,Muscular problems,muscular-problems,MUSCULAR_PROBLEMS,injury_suspension,,
599,629.0,Torn muscle bundle,torn-muscle-blend,TORN_MUSCLE_BLEND,injury_suspension,,
600,629.0,Dead Leg,dead-leg,DEAD_LEG,injury_suspension,,
601,629.0,Abdominal Influenza,abdominal-Influenza,ABDOMINAL_INFLUENZA,injury_suspension,,
602,629.0,Femoral fracture,femoral-fracture,FEMORAL_FRACTURE,injury_suspension,,
603,629.0,Achilles tendon problems,achilles-tendon-problems,ACHILLES_TENDON_PROBLEMS,injury_suspension,,
604,629.0,Achilles tendon rupture,achilles-tendon-rupture,ACHILLES_TENDON_RUPTURE,injury_suspension,,
605,629.0,Hip problems,hip-problems,HIP_PROBLEMS,injury_suspension,,
606,629.0,Fractured Finger,fractured-finger,FRACTURED_FINGER,injury_suspension,,
607,629.0,Bruised Foot,bruised-foot,BRUISED_FOOT,injury_suspension,,
608,629.0,Surgery,surgery,SURGERY,injury_suspension,,
609,629.0,Torn Knee Ligament,torn-knee-ligament,TORN_KNEE_LIGAMENT,injury_suspension,,
610,629.0,Flu,flu,FLU,injury_suspension,,
611,629.0,Fractured Jaw,fractured-jaw,FRACTURED_JAW,injury_suspension,,
612,629.0,Heel Bone Injury,heel-bone-injury,HEEL_BONE_INJURY,injury_suspension,,
614,629.0,Herniated Disc,herniated-disc,HERNIATED_DISC,injury_suspension,,
615,629.0,Peroneus Tendon Injury,peroneus-tendon-injury,PERONEUS_TENDON_INJURY,injury_suspension,,
616,629.0,Fractures Eye Socket,fractured-eye-socket,FRACTURED_EYE_SOCKET,injury_suspension,,
618,629.0,Ruptured Knee Ligament,ruptured-knee-ligament,RUPTURED_KNEE_LIGAMENT,injury_suspension,,
619,629.0,Back Trouble,back-trouble,BACK_TROUBLE,injury_suspension,,
620,629.0,Ruptured Ankle,ruptured-ankle,RUPTURED_ANKLE,injury_suspension,,
621,629.0,Syndesmotic Ligament Tear,syndesmotic-ligament-tear,SYNDESMOTIC_LIGAMENT_TEAR,injury_suspension,,
622,629.0,Pulled Hamstring At Adductors,pulled-hamstring-at-adductors,PULLED_HAMSTRING_AT_ADDUCTORS,injury_suspension,,
623,629.0,Fractured Toe,fractured-toe,FRACTURED_TOE,injury_suspension,,
624,629.0,Facial Fracture,facial-fractures,FACIAL_FRACTURE,injury_suspension,,
